ID ,currency,notional,start.date,maturity.date,strike,type,standard
1349,EUR,10000000,04/10/2018,04/10/2023,0.00386,payer,TRUE
1348,EUR,13800000,27/09/2018,27/09/2038,0.0152,payer,TRUE
1347,EUR,14400000,27/09/2018,27/09/2028,0.01017,payer,TRUE
1346,EUR,10000000,27/09/2018,27/09/2048,0.015625,receiver,TRUE
1345,EUR,10000000,27/09/2018,27/09/2033,0.013495,receiver,TRUE
1344,EUR,14000000,20/09/2018,20/09/2025,0.00613,receiver,TRUE
1343,EUR,49800000,20/09/2018,20/09/2021,0.00018,receiver,TRUE
1342,EUR,10000000,20/09/2018,20/09/2028,0.00961,payer,TRUE
1341,EUR,30000000,20/09/2018,20/09/2023,0.00345,payer,TRUE
1340,EUR,14500000,13/09/2018,13/09/2028,0.00936,payer,TRUE
1339,EUR,10000000,13/09/2018,13/09/2033,0.012845,receiver,TRUE
1338,EUR,20000000,13/09/2018,13/09/2025,0.00585,receiver,TRUE
1337,EUR,10200000,06/09/2018,06/09/2028,0.00875,payer,TRUE
1336,EUR,10500000,06/09/2018,06/09/2033,0.012235,receiver,TRUE
1335,EUR,14300000,06/09/2018,06/09/2025,0.00532,receiver,TRUE
1334,EUR,21800000,30/08/2018,30/08/2028,0.00888,payer,TRUE
1333,EUR,21100000,30/08/2018,30/08/2025,0.00552,receiver,TRUE
1332,EUR,15000000,30/08/2018,30/08/2033,0.012345,receiver,TRUE
1331,EUR,15000000,30/08/2018,30/08/2028,0.00898,payer,TRUE
1330,EUR,13900000,23/08/2018,23/08/2038,0.01394,payer,TRUE
1329,EUR,14100000,23/08/2018,23/08/2025,0.00537,receiver,TRUE
1328,EUR,39000000,23/08/2018,23/08/2023,0.0027,payer,TRUE
1327,EUR,10000000,23/08/2018,23/08/2048,0.014475,receiver,TRUE
1326,EUR,10000000,23/08/2018,23/08/2028,0.00883,payer,TRUE
1325,EUR,28000000,23/08/2018,23/08/2025,0.00527,receiver,TRUE
1324,EUR,10000000,23/08/2018,23/08/2023,0.0028,payer,TRUE
1323,EUR,28100000,16/08/2018,16/08/2025,0.00542,receiver,TRUE
1322,EUR,27900000,16/08/2018,16/08/2023,0.00272,payer,TRUE
1321,EUR,29900000,16/08/2018,16/08/2021,-0.00016,receiver,TRUE
1320,EUR,20000000,16/08/2018,16/08/2028,0.0089,payer,TRUE
1319,EUR,20000000,16/08/2018,16/08/2025,0.00532,receiver,TRUE
1318,EUR,18000000,16/08/2018,16/08/2023,0.00282,payer,TRUE
1317,EUR,14100000,09/08/2018,09/08/2025,0.00588,receiver,TRUE
1316,EUR,10000000,09/08/2018,09/08/2028,0.00932,payer,TRUE
1315,EUR,0,06/08/2018,06/08/2028,0.009572,receiver,TRUE
1314,EUR,13900000,02/08/2018,02/08/2038,0.01463,payer,TRUE
1313,EUR,18700000,02/08/2018,02/08/2025,0.00614,receiver,TRUE
1312,EUR,33900000,02/08/2018,02/08/2023,0.00337,payer,TRUE
1311,EUR,43200000,02/08/2018,02/08/2021,0.00013,receiver,TRUE
1310,EUR,10000000,02/08/2018,02/08/2048,0.015145,receiver,TRUE
1309,EUR,13300000,02/08/2018,02/08/2028,0.00959,payer,TRUE
1308,EUR,24400000,02/08/2018,02/08/2025,0.00604,receiver,TRUE
1307,EUR,26000000,02/08/2018,02/08/2023,0.00347,payer,TRUE
1306,EUR,33200000,26/07/2018,26/07/2021,-0.0001,receiver,TRUE
1305,EUR,20000000,26/07/2018,26/07/2023,0.00311,payer,TRUE
1304,EUR,12800000,19/07/2018,19/07/2033,0.01229,receiver,TRUE
1303,EUR,19700000,19/07/2018,19/07/2025,0.00538,receiver,TRUE
1302,EUR,16600000,19/07/2018,19/07/2021,-0.00025,receiver,TRUE
1301,EUR,10000000,19/07/2018,19/07/2038,0.014085,payer,TRUE
1300,EUR,14000000,19/07/2018,19/07/2028,0.00882,payer,TRUE
1299,EUR,10000000,19/07/2018,19/07/2023,0.00281,payer,TRUE
1298,EUR,21101000,12/07/2018,12/07/2025,0.00542,receiver,TRUE
1297,EUR,27851000,12/07/2018,12/07/2023,0.00273,payer,TRUE
1296,EUR,33246000,12/07/2018,12/07/2021,-0.00027,receiver,TRUE
1295,EUR,15000000,12/07/2018,12/07/2028,0.00887,payer,TRUE
1294,EUR,20000000,12/07/2018,12/07/2025,0.00532,receiver,TRUE
1293,EUR,20000000,12/07/2018,12/07/2023,0.00283,payer,TRUE
1292,EUR,13901000,05/07/2018,05/07/2038,0.01396,payer,TRUE
1291,EUR,10149000,05/07/2018,05/07/2028,0.00877,payer,TRUE
1290,EUR,10000000,05/07/2018,05/07/2048,0.014445,receiver,TRUE
1289,EUR,10000000,05/07/2018,05/07/2033,0.012225,receiver,TRUE
1288,EUR,14000000,05/07/2018,05/07/2025,0.00528,receiver,TRUE
1287,EUR,14500000,28/06/2018,28/06/2028,0.00888,payer,TRUE
1286,EUR,14000000,28/06/2018,28/06/2025,0.00538,receiver,TRUE
1285,EUR,10000000,28/06/2018,28/06/2033,0.012435,receiver,TRUE
1284,EUR,10000000,28/06/2018,28/06/2028,0.00898,payer,TRUE
1283,EUR,28100000,21/06/2018,21/06/2025,0.00536,receiver,TRUE
1282,EUR,20000000,21/06/2018,21/06/2028,0.00894,payer,TRUE
1281,EUR,21700000,14/06/2018,14/06/2028,0.01024,payer,TRUE
1280,EUR,15000000,14/06/2018,14/06/2033,0.013485,receiver,TRUE
1279,EUR,17300000,07/06/2018,07/06/2025,0.00597,receiver,TRUE
1278,EUR,36000000,07/06/2018,07/06/2023,0.00317,payer,TRUE
1277,EUR,16600000,07/06/2018,07/06/2021,0.00003,receiver,TRUE
1276,EUR,12300000,07/06/2018,07/06/2028,0.00941,payer,TRUE
1275,EUR,25900000,07/06/2018,07/06/2025,0.00587,receiver,TRUE
1274,EUR,10000000,07/06/2018,07/06/2023,0.00327,payer,TRUE
1273,EUR,11750000,31/05/2018,31/05/2058,0.01479,payer,TRUE
1272,EUR,13900000,31/05/2018,31/05/2038,0.01421,payer,TRUE
1271,EUR,12800000,31/05/2018,31/05/2033,0.0126,receiver,TRUE
1270,EUR,22500000,31/05/2018,31/05/2025,0.00561,receiver,TRUE
1269,EUR,10000000,31/05/2018,31/05/2068,0.014215,receiver,TRUE
1268,EUR,10000000,31/05/2018,31/05/2048,0.014685,receiver,TRUE
1267,EUR,10000000,31/05/2018,31/05/2038,0.014335,payer,TRUE
1266,EUR,16000000,31/05/2018,31/05/2028,0.00916,payer,TRUE
1265,EUR,28800000,25/05/2018,25/05/2025,0.00664,receiver,TRUE
1264,EUR,25500000,25/05/2018,25/05/2028,0.01007,payer,TRUE
1263,EUR,10000000,25/05/2018,25/05/2023,0.00385,payer,TRUE
1262,EUR,4300000,17/05/2018,17/05/2028,0.01062,payer,TRUE
1261,EUR,3000000,17/05/2018,17/05/2033,0.01378,receiver,TRUE
1260,EUR,12800000,11/05/2018,11/05/2033,0.01344,receiver,TRUE
1259,EUR,14500000,11/05/2018,11/05/2028,0.01007,payer,TRUE
1258,EUR,10000000,11/05/2018,11/05/2038,0.015085,payer,TRUE
1257,EUR,10000000,11/05/2018,11/05/2033,0.013315,receiver,TRUE
1256,EUR,14500000,07/05/2018,07/05/2028,0.00987,payer,TRUE
1255,EUR,28100000,07/05/2018,07/05/2025,0.00663,receiver,TRUE
1254,EUR,23600000,07/05/2018,07/05/2023,0.00381,payer,TRUE
1253,EUR,10000000,07/05/2018,07/05/2033,0.013135,receiver,TRUE
1252,EUR,20000000,07/05/2018,07/05/2028,0.00997,payer,TRUE
1251,EUR,29000000,07/05/2018,07/05/2025,0.00653,receiver,TRUE
1250,EUR,14470000,26/04/2018,26/04/2028,0.01039,payer,TRUE
1249,EUR,10000000,26/04/2018,26/04/2033,0.013575,receiver,TRUE
1248,EUR,13900000,19/04/2018,19/04/2038,0.01447,payer,TRUE
1247,EUR,14050000,19/04/2018,19/04/2025,0.00652,receiver,TRUE
1246,EUR,49800000,19/04/2018,19/04/2021,0.00031,receiver,TRUE
1245,EUR,10000000,19/04/2018,19/04/2048,0.014755,receiver,TRUE
1244,EUR,10000000,19/04/2018,19/04/2028,0.0098,payer,TRUE
1243,EUR,30000000,19/04/2018,19/04/2023,0.00387,payer,TRUE
1242,EUR,12457000,12/04/2018,12/04/2048,0.01467,receiver,TRUE
1241,EUR,10000000,12/04/2018,12/04/2058,0.01472,payer,TRUE
1240,EUR,12800000,09/04/2018,09/04/2033,0.01299,receiver,TRUE
1239,EUR,17400000,09/04/2018,09/04/2028,0.00965,payer,TRUE
1238,EUR,14000000,09/04/2018,09/04/2025,0.00645,receiver,TRUE
1237,EUR,10000000,09/04/2018,09/04/2038,0.014545,payer,TRUE
1236,EUR,12000000,09/04/2018,09/04/2033,0.012865,receiver,TRUE
1235,EUR,10000000,09/04/2018,09/04/2028,0.00975,payer,TRUE
1234,EUR,13000000,09/04/2018,09/04/2025,0.00635,receiver,TRUE
1233,EUR,8700000,29/03/2018,29/03/2048,0.01485,receiver,TRUE
1232,EUR,7100000,29/03/2018,29/03/2033,0.01307,receiver,TRUE
1231,EUR,2200000,29/03/2018,29/03/2028,0.00983,payer,TRUE
1230,EUR,14000000,29/03/2018,29/03/2025,0.00665,receiver,TRUE
1229,EUR,13900000,29/03/2018,29/03/2023,0.00385,payer,TRUE
1228,EUR,10200000,29/03/2018,29/03/2058,0.01491,payer,TRUE
1227,EUR,1500000,29/03/2018,29/03/2033,0.01292,receiver,TRUE
1226,EUR,10000000,29/03/2018,29/03/2028,0.00993,payer,TRUE
1225,EUR,10000000,29/03/2018,29/03/2025,0.00655,receiver,TRUE
1224,EUR,13650000,22/03/2018,22/03/2048,0.01532,receiver,TRUE
1223,EUR,8900000,22/03/2018,22/03/2033,0.01354,receiver,TRUE
1222,EUR,14000000,22/03/2018,22/03/2025,0.00709,receiver,TRUE
1221,EUR,20800000,22/03/2018,22/03/2023,0.00421,payer,TRUE
1220,EUR,49800000,22/03/2018,22/03/2021,0.00047,receiver,TRUE
1219,EUR,15000000,22/03/2018,22/03/2058,0.01537,payer,TRUE
1218,EUR,10000000,22/03/2018,22/03/2028,0.01039,payer,TRUE
1217,EUR,15000000,22/03/2018,22/03/2025,0.00699,receiver,TRUE
1216,EUR,30000000,22/03/2018,22/03/2023,0.00431,payer,TRUE
1215,EUR,20500000,01/03/2018,01/03/2038,0.01571,payer,TRUE
1214,EUR,14400000,01/03/2018,01/03/2028,0.01096,payer,TRUE
1213,EUR,14000000,01/03/2018,01/03/2025,0.0077,receiver,TRUE
1212,EUR,10000000,01/03/2018,01/03/2068,0.015315,receiver,TRUE
1211,EUR,10000000,01/03/2018,01/03/2033,0.014155,receiver,TRUE
1210,EUR,10000000,01/03/2018,01/03/2028,0.01106,payer,TRUE
1209,EUR,16800000,22/02/2018,22/02/2038,0.01639,payer,TRUE
1208,EUR,31000000,22/02/2018,22/02/2028,0.01151,payer,TRUE
1207,EUR,21700000,22/02/2018,22/02/2025,0.0081,receiver,TRUE
1206,EUR,12200000,22/02/2018,22/02/2048,0.016665,receiver,TRUE
1205,EUR,21500000,22/02/2018,22/02/2033,0.014835,receiver,TRUE
1204,EUR,15500000,22/02/2018,22/02/2028,0.01161,payer,TRUE
1203,EUR,1170000,08/02/2018,08/02/2058,0.01557,payer,TRUE
1202,EUR,16800000,08/02/2018,08/02/2048,0.01573,receiver,TRUE
1201,EUR,2200000,08/02/2018,08/02/2038,0.01528,payer,TRUE
1200,EUR,35000000,08/02/2018,08/02/2025,0.00739,receiver,TRUE
1199,EUR,21900000,08/02/2018,08/02/2021,0.00059,receiver,TRUE
1198,EUR,1000000,08/02/2018,08/02/2068,0.01491,receiver,TRUE
1197,EUR,13600000,08/02/2018,08/02/2058,0.01577,payer,TRUE
1196,EUR,1600000,08/02/2018,08/02/2048,0.01553,receiver,TRUE
1195,EUR,25000000,08/02/2018,08/02/2028,0.01077,payer,TRUE
1194,EUR,13200000,08/02/2018,08/02/2023,0.0045,payer,TRUE
1193,EUR,1630000,18/01/2018,18/01/2058,0.01534,payer,TRUE
1192,EUR,8300000,18/01/2018,18/01/2038,0.01456,payer,TRUE
1191,EUR,34600000,18/01/2018,18/01/2025,0.00635,receiver,TRUE
1190,EUR,43150000,18/01/2018,18/01/2021,0.0005,receiver,TRUE
1189,EUR,1400000,18/01/2018,18/01/2068,0.01477,receiver,TRUE
